,Chapter,Verse,Eknath Easwaran,Mahatma Gandhi,Shri Swami Purohit,Easwaran - Gandhi,Gandhi - Purohit,Purohit - Easwaran,total,min sum
39,3,40,"Selfish desire is found in the senses, mind, and intellect, misleading them and burying the understanding in delusion. ","  The senses, the mind and the reason are said to be its great seat; by means of  these it obscures knowledge and stupefies man.    "," It works through the senses, the mind and the reason; and with their help destroys wisdom and confounds the soul. ",0.4379662275314331,0.4925209879875183,0.2989856004714966,1.229472815990448,1.229472815990448
47,5,5, The goal of knowledge and the goal of service are the same; those who fail to see this are blind. ,  The goal that the sankhyas attain is also reached by the yogins. He sees truly  who sees both sankhya and yoga as one.   ," The level which is reached by wisdom is attained through right action as well. He who perceives that the two are one, knows the truth. ",0.2954513728618622,0.3385375440120697,0.5173734426498413,1.1513623595237732,1.1513623595237732
73,7,2," I will give you both jnana and vijnana. When both these are realized, there is nothing more you need to know. ","  I will declare to you, in its entirety, this knowledge, combined with  discriminative knowledge, which when you have known there remains here  nothing more to be known.   "," I will reveal to this knowledge unto you, and how it may be realised; which, once accomplished, there remains nothing else worth having in this life. ",0.2650721073150635,0.5544911623001099,0.39023491740226746,1.2097981870174408,1.2097981870174408
124,8,23," There are two paths, Arjuna, which the soul may follow at the time of death. One leads to rebirth and the other to liberation. ","  Now I will tell you, Arjuna, the conditions which determine the  exemption from return, as also the return, of yogins after they pass away hence.   "," Now I will tell you, O Arjuna, of the times at which, if the mystics go forth, they do not return, and at which they go forth only to return. ",0.4459893703460693,0.5345722436904907,0.5765037536621094,1.5570653676986694,1.5570653676986694
151,9,22,"  Those who worship me and meditate on me constantly, without any other thought  I will provide for all their needs. ","  As for those who worship Me, thinking on Me alone and nothing else, ever  attached to Me, I bear the burden of getting them what they need.   "," But if a man will meditate on Me and Me alone, and will worship Me always and everywhere, I will take upon Myself the fulfillment of his aspiration, and I will safeguard whatsoever he shall attain. ",0.5711710453033447,0.5273999571800232,0.5283277630805969,1.6268987655639648,1.6268987655639648
192,10,29,"  I am Ananta, the cosmic serpent, and Varuna, the god of water; I am Aryaman among the noble ancestors. Among the forces which restrain I am Yama, the god of death. ","  Of cobras I am Anata; of water-dwellers I am Varuna; of the manes I am  Aryaman; and of the chastisers, Yama.   "," I am the King-python among snakes, I am the Aqueous Principle among those that live in water, I am the Father of fathers, and among rulers I am Death. ",0.7383836507797241,0.4721947908401489,0.5061161518096924,1.7166945934295654,1.7166945934295654
209,11,4," O Lord, master of yoga, if you think me strong enough to behold it, show me your immortal Self. ","  If, Lord, you thinks it possible for me to bear the sight, reveal to me, O  Krishna, Your imperishable form.  The Lord Said:   "," If You think that it can be made possible for me to see it, show me, O Lord of Lords, Yours own Eternal Self. ",0.5723629593849182,0.5823149681091309,0.5298098921775818,1.6844878196716309,1.6844878196716309
265,12,5,"  Yet hazardous and slow is the path to the Unrevealed, difficult for physical creatures to tread. ",  Greater is the travail of those whose mind is fixed on the Unmanifest; for it is  hard for embodied mortals to gain the Unmanifest—Goal.   ," But they who thus fix their attention on the Absolute and Impersonal encounter greater hardships, for it is difficult for those who possess a body to realise Me as without one. ",0.430389940738678,0.6222467422485352,0.4262824058532715,1.4789190888404846,1.4789190888404846
291,15,11,"  Those who strive resolutely on the path of yoga see the Self within. The thoughtless, who strive imperfectly, do not. ","  Yogins who strive see Him seated in themselves; the witless ones who have  not cleansed themselves to see Him not, even though they strive.   "," The saints with great effort find Him within themselves; but not the unintelligent, who in spite of every effort cannot control their minds. ",0.4503664374351502,0.6287405490875244,0.3672001361846924,1.446307122707367,1.446307122707367
304,16,4,"  Other qualities, Arjuna, make a person more and more inhuman: hypocrisy, arrogance, conceit, anger, cruelty, ignorance. ","  Pretentiousness, arrogance, self-conceit, wrath, coarseness, ignorance—these  are to be found in one born with the devilish heritage.   "," Hypocrisy, pride, insolence, cruelty, ignorance belong to him who is born of the godless qualities. ",0.4469326734542847,0.5862195491790771,0.5118216276168823,1.5449738502502441,1.5449738502502441
342,17,18," Disciplines practiced in order to gain respect, honor, or admiration are rajasic; they are undependable and transitory in their effects. ","  Austerity which is practiced with an eye to gain praise, honour and homage  and for ostentation is said to be rajasa; it is fleeting and unstable.   "," Austerity coupled with hypocrisy or performed for the sake of self-glorification, popularity or vanity, comes from Passion, and its result is always doubtful and temporary. ",0.440637469291687,0.7400104999542236,0.21194368600845334,1.392591655254364,1.392591655254364
