,Chapter,Verse,Eknath Easwaran,Mahatma Gandhi,Shri Swami Purohit,Easwaran - Gandhi,Gandhi - Purohit,Purohit - Easwaran,total,min sum
6,3,7,"But they excel who control their senses through the mind, using them for selfless service. ","  But he, O Arjuna, who keeping all the senses under control of the mind,  engages the organs in Karma yoga, without attachment—that man excels.   "," But, O Arjuna! All honour to him whose mind controls his senses, for he is thereby beginning to practise Karma-Yoga, the Path of Right Action, keeping himself always unattached. ",0.5766288638114929,0.8386618494987488,0.5318708419799805,1.9471615552902222,1.9471615552902222
69,5,27," Closing their eyes, steadying their breathing, and focusing their attention on the center of spiritual consciousness, ","  That ascetic is ever free—who, having shut out the outward  sense-contacts, sits with his gaze fixed between the brows, outward and inward  breathing in the nostrils made equal; his senses, mind, and reason held in check;  rid of longing, fear and wrath; and intent on Freedom.   "," Excluding external objects, his gaze fixed between the eyebrows, the inward and outward breathings passing equally through his nostrils; ",0.5793815851211548,0.6827135682106018,0.5104591250419617,1.7725542783737183,1.7725542783737183
87,7,16,"  Good people come to worship me for different reasons. Some come to the spiritual life because of suffering, some in order to understand life; some come through a desire to achieve lifes purpose, and some come who are men and women of wisdom. ","  Four types of well-doers are devoted to Me, O Arjuna; they are, O  Arjuna, the afflicted, the spiritual seeker, the material seeker, and the  enlightened.   "," O Arjuna! The righteous who worship Me are grouped by stages: first, they who suffer, next they who desire knowledge, then they who thirst after truth, and lastly they who attain wisdom. ",0.5085269212722778,0.6572755575180054,0.7012538909912109,1.8670563697814941,1.8670563697814941
124,8,23," There are two paths, Arjuna, which the soul may follow at the time of death. One leads to rebirth and the other to liberation. ","  Now I will tell you, Arjuna, the conditions which determine the  exemption from return, as also the return, of yogins after they pass away hence.   "," Now I will tell you, O Arjuna, of the times at which, if the mystics go forth, they do not return, and at which they go forth only to return. ",0.6181604266166687,0.636627197265625,0.6252562999725342,1.8800439238548279,1.8800439238548279
135,9,6, They move in me as the winds move in every direction in space. ,"  As the mighty wind, moving everywhere, is ever contained in ether, even so  know that all beings are contained in Me.   "," As the mighty wind, though moving everywhere, has no resting place but space, so have all these beings no home but Me. ",0.5225397348403931,0.500938355922699,0.3740184009075165,1.3974964916706085,1.3974964916706085
179,10,16,"  Tell me all your divine attributes, leaving nothing unsaid. Tell me of the glories with which you fill the cosmos. ","  Indeed You ought to tell me of all Your manifestations, without a  remainder, whereby You do pervade the worlds.   "," Please tell me all about Your glorious manifestations, by means of which You pervade the world. ",0.7021702527999878,0.6218658685684204,0.6537659168243408,1.977802038192749,1.977802038192749
211,11,6," Behold the gods of the natural world, and many more wonders never revealed before. ","  Behold the Adityas, the Vasus, the Rudras, the two Ashwins, the Maruts;  behold, O Arjuna, numerous marvels never revealed before.   "," Behold you the Powers of Nature: fire, earth, wind and sky; the sun, the heavens, the moon, the stars; all forces of vitality and of healing; and the roving winds. See the myriad wonders revealed to none but you. ",0.7737147808074951,0.5566120147705078,0.6499326825141907,1.9802594780921936,1.9802594780921936
269,12,9," If you cannot still your mind in me, learn to do so through the regular practice of meditation. ","  If you can not set your mind steadily on Me, then by the method of constant  practice seek to win Me, O Arjuna.   "," But if you can not fix your mind firmly on Me, then, My beloved friend, try to do so by constant practice. ",0.5046576857566833,0.7864949703216553,0.7122601270675659,2.0034127831459045,2.0034127831459045
287,15,7,"  An eternal part of me enters into the world, assuming the powers of action and perception and a mind made of prakriti. ","  As part indeed of Myself which has been the eternal Jiva(the Vital Essence) in this world of life,  attracts the mind and the five senses from their place in prakriti.   "," It is only a very small part of My Eternal Self, which is the life of the universe, drawing round itself the six senses, the mind the last, which have their source in Nature. ",0.7250374555587769,0.5384028553962708,0.4931605458259583,1.7566008567810059,1.7566008567810059
322,16,22," Those who escape from these three gates of darkness, Arjuna, seek what is best and attain lifes supreme goal. ","  The man who escapes these three gates of Darkness, O Arjuna, works out  his welfare and from there reaches the highest state.   "," These are the gates which lead to darkness; if a man avoid them he will ensure his own welfare, and in the end will attain his liberation. ",0.7461679577827454,0.5453836917877197,0.6676747798919678,1.9592264294624329,1.9592264294624329
326,17,2,"  KRISHNA  Every creature is born with faith of some kind, either sattvic, rajasic, or tamasic. Listen, and I will describe each to you. ","  Threefold is the faith of men, an expression of their nature in each case; it is  sattvika, rajas or tamasa. Hear you of it.   "," Lord Shri Krishna replied: Man has an inherent faith in one or another of the Qualities – Purity, Passion and Ignorance. Now listen. ",0.6276770830154419,0.6983119249343872,0.5677593946456909,1.89374840259552,1.89374840259552
