,Chapter,Verse,Eknath Easwaran,Mahatma Gandhi,Shri Swami Purohit,Easwaran - Gandhi,Gandhi - Purohit,Purohit - Easwaran
0,3,1,"ARJUNA:  O Krishna, you have said that knowledge is greater than action; why then do you ask me to wage this terrible war? ","  If, O Krishna, you hold that the attitude of detachment is superior to  action, then why, O Krishna, do you urge me to dreadful action?    ","“Arjuna questioned: My Lord! If Wisdom is above action, why do You advise me to engage in this terrible fight? ",0.5495831966400146,0.5679352283477783,0.8556220531463623
1,3,2,Your advice seems inconsistent. Give me one path to follow to the supreme good. ,"  You do seem to confuse my understanding with perplexing speech; tell  me, therefore, in no uncertain voice, that alone whereby I may attain salvation.   The Lord Said:   "," Your language perplexes me and confuses my reason. Therefore please tell me the only way by which I may, without doubt, secure my spiritual welfare. ",0.386773020029068,0.5979583859443665,0.5632530450820923
2,3,3,"KRISHNA:  At the beginning of time I declared two paths for the pure heart: jnana yoga, the contemplative path of spiritual wisdom, and karma yoga, the active path of selfless service. ","  I have spoken, before, O sinless one, of two attitudes in this world—the  Sankhayas', that of Jnana yoga and the Yogins', that of karma yoga.   "," Lord Shri Krishna replied: In this world, as I have said, there is a twofold path, O Sinless One! There is the Path of Wisdom for those who meditate, and the Path of Action for those who work. ",0.6918722987174988,0.5963753461837769,0.7139251232147217
10,3,11,Honor and cherish the devas as they honor and cherish you; through this honor and love you will attain the supreme good. ,"  ""With this may you cherish the gods and may the gods cherish you; thus  cherishing one another may you attain the highest good.   "," Worship the Powers of Nature thereby, and let them nourish you in return; thus supporting each other, you shall attain your highest welfare. ",0.5299206972122192,0.575023889541626,0.5496692061424255
18,3,19,Strive constantly to serve the welfare of the world; by devotion to selfless work one attains the supreme goal of life. ,"  Therefore, do you ever perform without attachment the work that you  must do; for performing action without attachment man attains the Supreme.   "," Therefore do your duty perfectly, without care for the results, for he who does his duty disinterestedly attains the Supreme. ",0.4213419258594513,0.5761303901672363,0.5311198830604553
20,3,21,"What the outstanding person does, others will try to do. The standards such people create will be followed by the whole world. ","  Whatever the best man does, is also done by other men, what example he  sets, the world follows.   "," For whatever a great man does, others imitate. People conform to the standard which he has set. ",0.6092183589935303,0.5515501499176025,0.44264930486679077
27,3,28,But the illumined man or woman understands the domain of the gunas and is not attached. Such people know that the gunas interact with each other; they do not claim to be the doer. ,"  But he, O Arjuna, who understands the truth of the various gunas and  their various activities, knows that it is the gunas that operate on the gunas; he  does not claim to be the doer.   "," But he, O Mighty One, who understands correctly the relation of the Qualities to action, is not attached to the act for he perceives that it is merely the action and reaction of the Qualities among themselves. ",0.7158944606781006,0.43463051319122314,0.4996379315853119
28,3,29,Those who are deluded by the operation of the gunas become attached to the results of their action. Those who understand these truths should not unsettle the ignorant. ,  Deluded by the gunas of prakriti men become attached to the activities of  the gunas; he who knows the truth of things should not unhinge the  slow-witted who have not the knowledge.   ," Those who do not understand the Qualities are interested in the act. Still, the wise man who knows the truth should not disturb the mind of him who does not. ",0.7598567008972168,0.5925143957138062,0.48078665137290955
29,3,30,"Performing all actions for my sake, completely absorbed in the Self, and without expectations, fight!  but stay free from the fever of the ego. ","  Cast all your acts on Me, with your mind fixed on the indwelling soul, and  without any thought of fruit, or sense of ‘mine' shake off your fever and fight!   "," Therefore, surrendering your actions unto Me, your thoughts concentrated on the Absolute, free from selfishness and without anticipation of reward, with mind devoid of excitement, begin you to fight. ",0.48584651947021484,0.5550054311752319,0.706429123878479
31,3,32,"Those who violate these laws, criticizing and complaining, are utterly deluded, and are the cause of their own suffering. ","  But those who cavil at the rule and refuse to conform to it are fools, dead to  all knowledge; know that they are lost.   "," But they who ridicule My word and do not keep it, are ignorant, devoid of wisdom and blind. They seek but their own destruction. ",0.39868679642677307,0.592876672744751,0.3069116473197937
39,3,40,"Selfish desire is found in the senses, mind, and intellect, misleading them and burying the understanding in delusion. ","  The senses, the mind and the reason are said to be its great seat; by means of  these it obscures knowledge and stupefies man.    "," It works through the senses, the mind and the reason; and with their help destroys wisdom and confounds the soul. ",0.4379662275314331,0.4925209879875183,0.2989856004714966
41,3,42,"The senses are higher than the body, the mind higher than the senses; above the mind is the intellect, and above the intellect is the Atman. ","  Subtle, they say, are the senses; subtler than the senses is the mind; subtler  than the mind is the reason; but subtler even than the reason is He.     "," It is said that the senses are powerful. But beyond the senses is the mind, beyond the mind is the intellect, and beyond and greater than intellect is He. ",0.553931474685669,0.5970021486282349,0.7960683703422546
42,3,43,"Thus, knowing that which is supreme, let the Atman rule the ego. Use your mighty arms to slay the fierce enemy that is selfish desire.","  Thus realizing Him to be subtler than the reason, and controlling the self by  the Self (Atman), destroy, O Arjuna, this enemy—Lust, so hard to  overcome. "," Thus, O Mighty-in-Arms, knowing Him to be beyond the intellect and, by His help, subduing your personal egotism, kill yours enemy, Desire, extremely difficult though it be.” ",0.7461926937103271,0.5784335136413574,0.6087342500686646
44,5,2, KRISHNA:  Both renunciation of action and the selfless performance of action lead to the supreme goal. But the path of action is better than renunciation. ,"  Renunciation and performance of action both lead to salvation; but of the  two, karmayoga (performance) is better than sannyasa (renunciation).     "," Lord Shri Krishna replied: Renunciation of action and the path of right action both lead to the highest; of the two, right action is the better. ",0.6406970024108887,0.5770444869995117,0.8384616374969482
45,5,3," Those who have attained perfect renunciation are free from any sense of duality; they are unaffected by likes and dislikes, Arjuna, and are free from the bondage of self-will. ",  Him one should know as ever renouncing who has no dislikes and likes; for  he who is free from the pairs of opposites is easily released from bondage.    ," He is a true ascetic who never desires or dislikes, who is uninfluenced by the opposites and is easily freed from bondage. ",0.6553087830543518,0.5481123328208923,0.4741603136062622
46,5,4," The immature think that knowledge and action are different, but the wise see them as the same. The person who is established in one path will attain the rewards of both. ","  It is the ignorant who speak of sankhya and yoga as different, not so those  who have knowledge. He who is rightly established even in one wins to the  fruit of both.   "," Only the unenlightened speak of wisdom and right action as separate, not the wise. If any man knows one, he enjoys the fruit of both. ",0.4209546446800232,0.34536731243133545,0.7313917279243469
47,5,5, The goal of knowledge and the goal of service are the same; those who fail to see this are blind. ,  The goal that the sankhyas attain is also reached by the yogins. He sees truly  who sees both sankhya and yoga as one.   ," The level which is reached by wisdom is attained through right action as well. He who perceives that the two are one, knows the truth. ",0.2954513728618622,0.3385375440120697,0.5173734426498413
