,Chapter,Verse,Eknath Easwaran,Mahatma Gandhi,Shri Swami Purohit,Easwaran - Gandhi,Gandhi - Purohit,Purohit - Easwaran
0,3,1,"ARJUNA:  O Krishna, you have said that knowledge is greater than action; why then do you ask me to wage this terrible war? ","  If, O Krishna, you hold that the attitude of detachment is superior to  action, then why, O Krishna, do you urge me to dreadful action?    ","“Arjuna questioned: My Lord! If Wisdom is above action, why do You advise me to engage in this terrible fight? ",0.5495831966400146,0.5679352283477783,0.8556220531463623
1,3,2,Your advice seems inconsistent. Give me one path to follow to the supreme good. ,"  You do seem to confuse my understanding with perplexing speech; tell  me, therefore, in no uncertain voice, that alone whereby I may attain salvation.   The Lord Said:   "," Your language perplexes me and confuses my reason. Therefore please tell me the only way by which I may, without doubt, secure my spiritual welfare. ",0.386773020029068,0.5979583859443665,0.5632530450820923
2,3,3,"KRISHNA:  At the beginning of time I declared two paths for the pure heart: jnana yoga, the contemplative path of spiritual wisdom, and karma yoga, the active path of selfless service. ","  I have spoken, before, O sinless one, of two attitudes in this world—the  Sankhayas', that of Jnana yoga and the Yogins', that of karma yoga.   "," Lord Shri Krishna replied: In this world, as I have said, there is a twofold path, O Sinless One! There is the Path of Wisdom for those who meditate, and the Path of Action for those who work. ",0.6918722987174988,0.5963753461837769,0.7139251232147217
3,3,4,One who shirks action does not attain freedom; no one can gain perfection by abstaining from work. ,"  Never does man enjoy freedom from action by not undertaking action, nor  does he attain that freedom by mere renunciation of action.   ", No man can attain freedom from activity by refraining from action; nor can he reach perfection by merely refusing to act. ,0.753291666507721,0.8793230652809143,0.8378833532333374
4,3,5,"Indeed, there is no one who rests for even an instant; all creatures are driven to action by their own nature. ",  For none ever remains inactive even for a moment; for all are compelled to  action by the gunas inherent in prakriti.   ," He cannot even for a moment remain really inactive, for the Qualities of Nature will compel him to act whether he will or no. ",0.5854793787002563,0.6324673295021057,0.6690138578414917
5,3,6,Those who abstain from action while allowing the mind to dwell on sensual pleasure cannot be called sincere spiritual aspirants. ,"  He who curbs the organs of action but allows the mind to dwell on the  sense-objects,—such a one, wholly deluded, is called a hypocrite.   "," He who remains motionless, refusing to act, but all the while brooding over sensuous object, that deluded soul is simply a hypocrite. ",0.5930594205856323,0.7663207054138184,0.603782057762146
6,3,7,"But they excel who control their senses through the mind, using them for selfless service. ","  But he, O Arjuna, who keeping all the senses under control of the mind,  engages the organs in Karma yoga, without attachment—that man excels.   "," But, O Arjuna! All honour to him whose mind controls his senses, for he is thereby beginning to practise Karma-Yoga, the Path of Right Action, keeping himself always unattached. ",0.4557197690010071,0.8347364664077759,0.4089692234992981
7,3,8,"Fulfill all your duties; action is better than inaction. Even to maintain your body, Arjuna, you are obliged to act. ",  Do you your allotted task; for action is superior to inaction; with inaction even  life's normal course is not possible.   ," Do your duty as prescribed, for action for duty’s sake is superior to inaction. Even the maintenance of the body would be impossible if man remained inactive. ",0.7340347766876221,0.7763513922691345,0.8357899188995361
8,3,9,"Selfish action imprisons the world. Act selflessly, without any thought of personal profit. ","  This world of men suffers bondage from all action save that which is done for  the sake of sacrifice; to this end, O Arjuna, perform action without  attachment.   "," In this world people are fettered by action, unless it is performed as a sacrifice. Therefore, O Arjuna, let your acts be done without attachment, as sacrifice only. ",0.4424419403076172,0.8323906660079956,0.44485902786254883
9,3,10,"At the beginning, mankind and the obligation of selfless service were created together. Through selfless service, you will always be fruitful and find the fulfillment of your desires: this is the promise of the Creator. ","  Together with sacrifice did the Lord of beings create, of old, mankind,  declaring:  ""By this shall you increase; may this be to you the giver of all your desires.   "," In the beginning, when God created all beings by the sacrifice of Himself, He said unto them: `Through sacrifice you can procreate, and it shall satisfy all your desires. ",0.6112461090087891,0.7245571613311768,0.5490128993988037
10,3,11,Honor and cherish the devas as they honor and cherish you; through this honor and love you will attain the supreme good. ,"  ""With this may you cherish the gods and may the gods cherish you; thus  cherishing one another may you attain the highest good.   "," Worship the Powers of Nature thereby, and let them nourish you in return; thus supporting each other, you shall attain your highest welfare. ",0.5299206972122192,0.575023889541626,0.5496692061424255
11,3,12,"All human desires are fulfilled by the devas, who are pleased by selfless service. But anyone who enjoys the things given by the devas without offering selfless acts in return is a thief. ","  ""Cherished with sacrifice, the gods will bestow on you the desired boons.""  He who enjoys their gifts without rendering aught unto them is verily a thief.   "," For, fed, on sacrifice, nature will give you all the enjoyment you can desire. But he who enjoys what she gives without returning is, indeed, a robber.’ ",0.6880775690078735,0.6347163915634155,0.5910657644271851
12,3,13,"The spiritually minded, who eat in the spirit of service, are freed from all their sins; but the selfish, who prepare food for their own satisfaction, eat sin. ","  The righteous men who eat the residue of the sacrifice are freed from all sin,  but the wicked who cook for themselves eat sin.   ", The sages who enjoy the food that remains after the sacrifice is made are freed from all sin; but the selfish who spread their feast only for themselves feed on sin only. ,0.7712632417678833,0.8527734279632568,0.7999277710914612
13,3,14,"Living creatures are nourished by food, and food is nourished by rain; rain itself is the water of life, which comes from selfless worship and service. ","  From food springs all life, from rain is born food; from sacrifice comes rain  and sacrifice is the result of action.   "," All creatures are the product of food, food is the product of rain, rain comes by sacrifice, and sacrifice is the noblest form of action. ",0.7527653574943542,0.8509519696235657,0.7617725133895874
14,3,15,"Every selfless act, Arjuna, is born from Brahman, the eternal, infinite Godhead. Brahman is present in every act of service. ",  Know that action springs from Brahman and Brahman from the  Imperishable; hence the all-pervading Brahman is ever firm-founded on  sacrifice.   ," All action originates in the Supreme Spirit, which is Imperishable, and in sacrificial action the all-pervading Spirit is consciously present. ",0.6380203366279602,0.694442629814148,0.5175971984863281
15,3,16,"All life turns on this law, O Arjuna. Those who violate it, indulging the senses for their own pleasure and ignoring the needs of others, have wasted their life. ","  He who does not follow the wheel thus set in motion here below, he, living  in sin, sating his senses, lives, O Arjuna, in vain.   "," Thus he who does not help the revolving wheel of sacrifice, but instead leads a sinful life, rejoicing in the gratification of his senses, O Arjuna, he breathes in vain. ",0.4928542673587799,0.7429471015930176,0.4682544767856598
