,Chapter,Verse,Eknath Easwaran,Mahatma Gandhi,Shri Swami Purohit,Easwaran - Gandhi,Gandhi - Purohit,Purohit - Easwaran
0,3,1,"ARJUNA:  O Krishna, you have said that knowledge is greater than action; why then do you ask me to wage this terrible war? ","  If, O Krishna, you hold that the attitude of detachment is superior to  action, then why, O Krishna, do you urge me to dreadful action?    ","“Arjuna questioned: My Lord! If Wisdom is above action, why do You advise me to engage in this terrible fight? ",0.5495831966400146,0.5679352283477783,0.8556220531463623
1,3,2,Your advice seems inconsistent. Give me one path to follow to the supreme good. ,"  You do seem to confuse my understanding with perplexing speech; tell  me, therefore, in no uncertain voice, that alone whereby I may attain salvation.   The Lord Said:   "," Your language perplexes me and confuses my reason. Therefore please tell me the only way by which I may, without doubt, secure my spiritual welfare. ",0.386773020029068,0.5979583859443665,0.5632530450820923
4,3,5,"Indeed, there is no one who rests for even an instant; all creatures are driven to action by their own nature. ",  For none ever remains inactive even for a moment; for all are compelled to  action by the gunas inherent in prakriti.   ," He cannot even for a moment remain really inactive, for the Qualities of Nature will compel him to act whether he will or no. ",0.5854793787002563,0.6324673295021057,0.6690138578414917
5,3,6,Those who abstain from action while allowing the mind to dwell on sensual pleasure cannot be called sincere spiritual aspirants. ,"  He who curbs the organs of action but allows the mind to dwell on the  sense-objects,—such a one, wholly deluded, is called a hypocrite.   "," He who remains motionless, refusing to act, but all the while brooding over sensuous object, that deluded soul is simply a hypocrite. ",0.5930594205856323,0.7663207054138184,0.603782057762146
6,3,7,"But they excel who control their senses through the mind, using them for selfless service. ","  But he, O Arjuna, who keeping all the senses under control of the mind,  engages the organs in Karma yoga, without attachment—that man excels.   "," But, O Arjuna! All honour to him whose mind controls his senses, for he is thereby beginning to practise Karma-Yoga, the Path of Right Action, keeping himself always unattached. ",0.4557197690010071,0.8347364664077759,0.4089692234992981
8,3,9,"Selfish action imprisons the world. Act selflessly, without any thought of personal profit. ","  This world of men suffers bondage from all action save that which is done for  the sake of sacrifice; to this end, O Arjuna, perform action without  attachment.   "," In this world people are fettered by action, unless it is performed as a sacrifice. Therefore, O Arjuna, let your acts be done without attachment, as sacrifice only. ",0.4424419403076172,0.8323906660079956,0.44485902786254883
10,3,11,Honor and cherish the devas as they honor and cherish you; through this honor and love you will attain the supreme good. ,"  ""With this may you cherish the gods and may the gods cherish you; thus  cherishing one another may you attain the highest good.   "," Worship the Powers of Nature thereby, and let them nourish you in return; thus supporting each other, you shall attain your highest welfare. ",0.5299206972122192,0.575023889541626,0.5496692061424255
15,3,16,"All life turns on this law, O Arjuna. Those who violate it, indulging the senses for their own pleasure and ignoring the needs of others, have wasted their life. ","  He who does not follow the wheel thus set in motion here below, he, living  in sin, sating his senses, lives, O Arjuna, in vain.   "," Thus he who does not help the revolving wheel of sacrifice, but instead leads a sinful life, rejoicing in the gratification of his senses, O Arjuna, he breathes in vain. ",0.4928542673587799,0.7429471015930176,0.4682544767856598
16,3,17,"But those who realize the Self are always satisfied. Having found the source of joy and fulfillment, they no longer seek happiness from the external world. ","  But the man who revels in soul, who is content in soul and who is  satisfied only with soul, for him no action exists.   "," On the other hand, the soul who meditates on the Self is content to serve the Self and rests satisfied within the Self; there remains nothing more for him to accomplish. ",0.532223105430603,0.677690327167511,0.6964293718338013
17,3,18,They have nothing to gain or lose by any action; neither people nor things can affect their security. ,"  He has no interest whatever in anything done, nor in anything not done, nor  has he need to rely on anything for personal ends.    ", He has nothing to gain by the performance or non-performance of action. His welfare depends not on any contribution that an earthly creature can make. ,0.4875805377960205,0.6355326771736145,0.338593065738678
18,3,19,Strive constantly to serve the welfare of the world; by devotion to selfless work one attains the supreme goal of life. ,"  Therefore, do you ever perform without attachment the work that you  must do; for performing action without attachment man attains the Supreme.   "," Therefore do your duty perfectly, without care for the results, for he who does his duty disinterestedly attains the Supreme. ",0.4213419258594513,0.5761303901672363,0.5311198830604553
22,3,23,"If I ever refrained from continuous work, everyone would immediately follow my example. ","  Indeed, for were I not, unslumbering, ever to remain in action, O Arjuna,  men would follow my example in every way.   "," For were I not to act without ceasing, O prince, people would be glad to do likewise. ",0.49012091755867004,0.6352489590644836,0.4837118983268738
25,3,26,"By abstaining from work you will confuse the ignorant, who are engrossed in their actions. Perform all work carefully, guided by compassion. ","  The enlightened may not confuse the mind of the unenlightened, who are  attached to action; rather must he perform all actions unattached, and thus  encourage them to do likewise.   "," But a wise man should not perturb the minds of the ignorant, who are attached to action; let him perform his own actions in the right spirit, with concentration on Me, thus inspiring all to do the same. ",0.49565964937210083,0.8062582015991211,0.4553121328353882
29,3,30,"Performing all actions for my sake, completely absorbed in the Self, and without expectations, fight!  but stay free from the fever of the ego. ","  Cast all your acts on Me, with your mind fixed on the indwelling soul, and  without any thought of fruit, or sense of ‘mine' shake off your fever and fight!   "," Therefore, surrendering your actions unto Me, your thoughts concentrated on the Absolute, free from selfishness and without anticipation of reward, with mind devoid of excitement, begin you to fight. ",0.48584651947021484,0.5550054311752319,0.706429123878479
31,3,32,"Those who violate these laws, criticizing and complaining, are utterly deluded, and are the cause of their own suffering. ","  But those who cavil at the rule and refuse to conform to it are fools, dead to  all knowledge; know that they are lost.   "," But they who ridicule My word and do not keep it, are ignorant, devoid of wisdom and blind. They seek but their own destruction. ",0.39868679642677307,0.592876672744751,0.3069116473197937
34,3,35,"It is better to strive in ones own dharma than to succeed in the dharma of another. Nothing is ever lost in following ones own dharma, but competition in anothers dharma breeds fear and insecurity. ","  Better one's own duty, bereft of merit, than another's well-performed; better  is death in the discharge of one's duty; another's duty is fraught with danger.   Arjuna Said:   "," It is better to do yours own duty, however lacking in merit, than to do that of another, even though efficiently. It is better to die doing one’s own duty, for to do the duty of another is fraught with danger. ",0.5989137887954712,0.8214737176895142,0.5841792821884155
39,3,40,"Selfish desire is found in the senses, mind, and intellect, misleading them and burying the understanding in delusion. ","  The senses, the mind and the reason are said to be its great seat; by means of  these it obscures knowledge and stupefies man.    "," It works through the senses, the mind and the reason; and with their help destroys wisdom and confounds the soul. ",0.4379662275314331,0.4925209879875183,0.2989856004714966
