,verse
0,"“Lord Shri Krishna said: Now, O Prince! Listen to My supreme advice, which I give you for the sake of your welfare, for you are My beloved. "
1," Neither the professors of divinity nor the great ascetics know My origin, for I am the source of them all. "
2," He who knows Me as the unborn, without beginning, the Lord of the universe, he, stripped of his delusion, becomes free from all conceivable sin. "
3," Intelligence, wisdom, non-illusion, forgiveness, truth, self-control, calmness, pleasure, pain, birth, death, fear and fearlessness; "
4," Harmlessness, equanimity, contentment, austerity, beneficence, fame and failure, all these, the characteristics of beings, spring from Me only. "
5," The seven Great Seers, the Progenitors of mankind, the Ancient Four, and the Lawgivers were born of My Will and come forth direct from Me. The race of mankind has sprung from them. "
6," He who rightly understands My manifested glory and My Creative Power, beyond doubt attains perfect peace. "
7, I am the source of all; from Me everything flows. Therefore the wise worship Me with unchanging devotion. 
8," With minds concentrated on Me, with lives absorbed in Me, and enlightening each other, they ever feel content and happy. "
9," To those who are always devout and who worship Me with love, I give the power of discrimination, which leads them to Me. "
10," By My grace, I live in their hearts; and I dispel the darkness of ignorance by the shining light of wisdom. "
11," Arjuna asked: You are the Supreme Spirit, the Eternal Home, the Holiest of the Holy, the Eternal Divine Self, the Primal God, the Unborn and the Omnipresent. "
12," So have said the seers and the divine sage Narada; as well as Asita, Devala and Vyasa; and You Yourself also say it. "
13," I believe in what You have said, my Lord! For neither the godly not the godless comprehend Your manifestation. "
14," You alone know Yourself, by the power of Your Self; You the Supreme Spirit, the Source and Master of all being, the Lord of Lords, the Ruler of the Universe. "
15," Please tell me all about Your glorious manifestations, by means of which You pervade the world. "
16," O Master! How shall I, by constant meditation, know You? My Lord! What are Your various manifestations through which I am to mediate on You? "
17," Tell me again, I pray, about the fullness of Your power and Your glory; for I feel that I am never satisfied when I listen to Your immortal words. "
18," Lord Shri Krishna replied: So be it, My beloved friend! I will unfold to you some of the chief aspects of My glory. Of its full extent there is no end. "
19," O Arjuna! I am the Self, seated in the hearts of all beings; I am the beginning and the life, and I am the end of them all. "
20," Of all the creative Powers I am the Creator, of luminaries the Sun; the Whirlwind among the winds, and the Moon among planets. "
21," Of the Vedas I am the Hymns, I am the Electric Force in the Powers of Nature; of the senses I am the Mind; and I am the Intelligence in all that lives. "
22," Among Forces of Vitality I am the life, I am Mammon to the heathen and the godless; I am the Energy in fire, earth, wind, sky, heaven, sun, moon and planets; and among mountains I am the Mount Meru. "
23," Among the priests, know, O Arjuna, that I am the Apostle Brihaspati; of generals I am Skanda, the Commander-in-Chief, and of waters I am the Ocean. "
24," Of the great seers I am Bhrigu, of words I am Om, of offerings I am the silent prayer, among things immovable I am the Himalayas. "
25," Of trees I am the sacred Fig-tree, of the Divine Seers Narada, of the heavenly singers I am Chitraratha, their Leader, and of sages I am Kapila. "
26," Know that among horses I am Pegasus, the heaven-born; among the lordly elephants I am the White one, and I am the Ruler among men. "
27," I am the Thunderbolt among weapons; of cows I am the Cow of Plenty, I am Passion in those who procreate, and I am the Cobra among serpents. "
28," I am the King-python among snakes, I am the Aqueous Principle among those that live in water, I am the Father of fathers, and among rulers I am Death. "
29, And I am the devotee Prahlad among the heathen; of Time I am the Eternal Present; I am the Lion among beasts and the Eagle among birds. 
30," I am the Wind among purifiers, the King Rama among warriors; I am the Crocodile among the fishes, and I am the Ganges among rivers. "
31," I am the Beginning, the Middle and the End in creation; among sciences, I am the science of Spirituality; I am the Discussion among disputants. "
32, Of letters I am A; I am the copulative in compound words; I am Time inexhaustible; and I am the all-pervading Preserver. 
33," I am all-devouring Death; I am the Origin of all that shall happen; I am Fame, Fortune, Speech, Memory, Intellect, Constancy and Forgiveness. "
34," Of hymns I am Brihatsama, of metres I am Garatri, among the months I am Margasheersha (December), and I am the Spring among seasons. "
35, I am the Gambling of the cheat and the Splendour of the splendid; I am Victory; I am Effort; and I am the Purity of the pure. 
36," I am Shri Krishna among the Vishnu-clan and Arjuna among the Pandavas; of the saints I am Vyasa, and I am Shukracharya among the sages. "
37," I am the Sceptre of rulers, the Strategy of the conquerors, the Silence of mystery, the Wisdom of the wise. "
38," I am the Seed of all being, O Arjuna! No creature moving or unmoving can live without Me. "
39, O Arjuna! The aspects of My divine life are endless. I have mentioned but a few by way of illustration. 
40," Whatever is glorious, excellent, beautiful and mighty, be assured that it comes from a fragment of My splendour. "
41, But what is the use of all these details to you? O Arjuna! I sustain this universe with only small part of Myself.” 
