,verse
0,"  Out of Your grace towards me, you have told me the supreme mystery  revealing the knowledge of the Supreme; it has banished my delusion.   "
1,"  Of the origin and destruction of beings I have heard from You in full detail,  as also Your imperishable ajesty [sic], O Kamala-patraksha!   "
2,"  You are indeed as You have described Yourself, Supreme lord! I do crave to  behold, now, that form of Yours as Supreme Being.   "
3,"  If, Lord, you thinks it possible for me to bear the sight, reveal to me, O  Krishna, Your imperishable form.  The Lord Said:   "
4,"  Behold, O Arjuna, my forms divine in their hundreds and thousands,  infinitely diverse, infinitely various in color and aspect.   "
5,"  Behold the Adityas, the Vasus, the Rudras, the two Ashwins, the Maruts;  behold, O Arjuna, numerous marvels never revealed before.   "
6,"  Behold today, O Arjuna, in my body, the whole universe, moving and  unmoving, all in one, and whatever else you craves to see.   "
7,  But you can not see Me with these yours own eyes. I give you the eye  divine; behold My sovereign power!  Sanjaya Said:   
8,"  With these words, O King, the great Lord of Yoga, Krishna, then revealed to  Arjuna His supreme form as Supreme Being.   "
9,"  With many mouths and many eyes, many wondrous aspects, many divine  ornaments, and many brandished weapons divine.   "
10,"  Wearing divine garlands and vestments, annointed with divine perfumes, it  was the form of God, all-marvellous [sic], infinite, seen everywhere.   "
11,  Were the splendour of a thousand suns to shoot forth all at once in the sky  that might perchance resemble the splendour of that Mighty One.   
12,  Then did Arjuna see the whole universe in its manifold divisions gathered  as one in the body of that God of gods.   
13,"  Then Arjuna, wonderstruck and thrilled in every fibre of his being,  bowed low his head before the Lord, addressing Him thus with folded hands.  Arjuna Said:   "
14,"  With Your form, O Lord, I see all the gods and the diverse multitudes of  beings, the Lord Brahma, on his lotus-throne and all the seers and serpents  divine.   "
15,"  With many arms and bellies, mouths and eyes, I see Your infinite form  everywhere. Neither Your end, nor middle, nor beginning, do I see, O Lord of  the Universe, Universal-formed!   "
16,"  With crown and mace and disc, a mass of effulgence, gleaming everywhere I  see You, so dazzling to the sight, bright with the splendour of the fiery sun  blazing from all sides,—incomprehensible.   "
17,"  You are the Supreme Imperishable worthy to be known; You are the final  resting place of this universe; You are the changeless guardian of the Eternal  Dharma; You are, I believe, the Everlasting Being.   "
18,"  You have no beginning, middle nor end; infinite is Your might; arms  innumerable; for eyes, the sun and the moon; Your mouth a blazing fire,  overpowering the universe with Your radiance.   "
19,"  By You alone are filled the spaces between heaven and earth and all the  quarters; at the sight of this Your wondrous terrible form, the three worlds are  sore oppressed, O great-souled!   "
