,verse
0,"  To Arjuna, thus overcome with compassion, sorrowing, and his eyes  obscured by flowing tears, Krishna spoke these words:  The Lord Said:   "
1,"  How is it that at this perilous moment this delusion, unworthy of the noble,  leading neither to heaven nor to glory, has overtaken you?   "
2,"  Yield not to unmanliness, O Arjuna; it does not become you. Shake off this  miserable faint-heartedness and arise, O Arjuna!  Arjuna Said:   "
3,"  How shall I, with arrows, engage Bhishma and Drona in battle, O  Krishna, they who are worthy of reverence, O Krishna?   "
4,  It were better far to live on alms of this world than to slay these venerable  elders. Having slain them I should but have blood-stained enjoyments.   
5,"  Nor do we know which is better for us, that we conquer them or that they  conquer us, for here stand before us Dhritarashtra's sons having killed whom  we should have no desire to live.     "
6,"  My being is paralysed by faint-heartedness; my mind discerns not duty;  hence I ask you; tell me, I pray you, in no uncertain language, wherein lies my  good. I am your disciple; guide me; I see refuge in you.   "
7,  For I see nothing that can dispel the anguish that shrivels up my senses even  if I should win on earth uncontested sovereignty over a thriving kingdom or  lordship over the gods.  Sanjaya Said:   
8,"  Thus spoke Arjuna Arjuna to Krishna Krishna, and with the  words 'I will not fight' became speechless.   "
9,"  To him thus stricken with anguish, O Arjuna! between the two armies,  Krishna, as though mocking, addressed these words:  The Lord Said:   "
10,  You mourn for them whom you should not mourn and utterest vain  words of wisdom. The wise mourn neither for the living nor for the dead.   
11,"  For never was I not, nor you, nor these kings; nor will any of us cease to be  hereafter.   "
12,"  As the embodied one has, in the present body, infancy, youth and age, even  so does he receive another body. The wise man is not deceived therein.   "
13,"  O Arjuna! Contacts of the senses with their objects bring cold and heat,  pleasure and pain; they come and go and are transient. Endure them, O  Arjuna.   "
14,"  O noblest of men, the wise man who is not disturbed by these, who is  unmoved by pleasure and pain, he is fitted for immortality.   "
15,"  What is non-Being is never known to have been, and what is Being is never  known not to have been. Of both these the secret has been seen by the seers of  the Truth.   "
16,  Know that to be imperishable whereby all this is pervaded. No one can  destroy that immutable being.   
17,"  These bodies of the embodied one who is eternal, imperishable and  immeasurable are finite. Fight, therefore, O Arjuna.   "
18,"  He who thinks of This (Atman) as slayer and he who believes This to be  slain, are both ignorant. This neither slays nor is ever slain.    "
19,"  This is never born nor ever dies, nor having been will ever not be any more;  unborn, eternal, everlasting, ancient, This is not slain when the body is slain.   "
20,"  He who knows This, O Arjuna, to be imperishable, eternal, unborn, and  immutable—whom and how can that man slay or cause to be slain?   "
21,"  As a man casts off worn-out garments and takes others that are new, even so  the embodied one casts off worn-out bodies and passes on to others new.   "
22,"  This no weapons wound, This no fire burns, This no waters wet, This no  wind does dry.   "
23,"  Beyond all cutting, burning, wetting and drying is This-eternal,  all-pervading, stable, immovable, everlasting.   "
24,"  Perceivable neither by the senses nor by the mind, This is called  unchangeable; therefore knowing This as such you should not grieve.   "
25,"  And if you deems This to be always coming to birth and always dying,  even then, O Arjuna, you should not grieve.   "
26,"  For certain is the death of the born, and certain is the birth of the dead;  therefore what is unavoidable you should not regret.   "
27,"  The state of all beings before birth is unmanifest; their middle state manifest;  their state after death is again unmanifest. What occasion is there for lament, O  Arjuna?   "
28,  One looks upon This as a marvel; another speaks of This as such; another  hears thereof as a marvel; yet having heard This none truly knows This.   
29,"  This embodied one in the body of every being is ever beyond all harm, O  Arjuna; you should not, therefore, grieve for any one.   "
30,"  Again, seeing yours own duty you should not shrink from it; for there is  no higher good for a Kshatriya than a righteous war.   "
31,"  Such a fight, coming unsought, as a gateway to heaven thrown open, falls  only to the lot of happy Kshatriyas, O Arjuna.   "
32,"  But if you will not fight this righteous fight, then failing in your duty and  losing yours honour you will incur sin.   "
33,  The world will for ever recount the story of your disgrace; and for a man of  honour disgrace is worse than death.   
34,  The great warriors will think that fear made you retire from battle; and you  will fall in the esteem of those very ones who have held you high.   
35,  Yours enemies will deride your prowess and speak many unspeakable words  about you. What can be more painful than that?   
36,"  Slain, you shall gain heaven; victorious, you shall inherit the earth:  therefore arise, O Arjuna, determined to fight.   "
37,"  Hold alike pleasure and pain, gain and loss, victory and defeat, and gird up  your loins for the fight; so doing you shall not incur sin.   "
38,  Thus have I set before you the attitude of Knowledge; hear now the attitude  of Action; resorting to this attitude you shall cast off the bondage of action.   
39,"  Here no effort undertaken is lost, no disaster befalls. Even a little of this  righteous course delivers one from great fear.   "
40,"  The attitude, in this matter, springing, as it does, from fixed resolve is but  one, O Arjuna; but for those who have no fixed resolve the attitudes are  many-branched and unending.   "
